Code,FAA Aircraft Type,EDMS Aircraft Code,Engine Manufacturer,Engine,EDMS ID,SCC,SCC Description,Map To,Last Inventory Year,Last updated on
201307,Cessna 750 Citation X,4692,Rolls-Royce Corporation,AE3007C,1492,2275050012,"General Aviation, Turbine",,,7/31/2018
201308,Cessna 750 Citation X,4692,Rolls-Royce Corporation,AE3007C1,1493,2275050012,"General Aviation, Turbine",,,7/31/2018
201309,Cessna 750 Citation X,4692,Rolls-Royce Corporation,AE3007C1,1494,2275050012,"General Aviation, Turbine",,,7/31/2018
201312,Dassault Falcon 200,4776,,CF700-2D ,1531,2275050012,"General Aviation, Turbine",,,7/18/2018
201313,Dornier 328 Jet,4737,Pratt & Whitnet Canada Inc.,PW306B,1519,2275060012,"Air Taxi, Turbine",,,7/31/2018
201314,Cessna 750 Citation X,4692,Pratt & Whitney Canada Inc,PW308A,1520,2275050012,"General Aviation, Turbine",,,7/31/2018
201315,Raytheon Hawker 4000 Horizon,4808,Pratt & Whitney Canada Inc,PW308A,1520,2275050012,"General Aviation, Turbine",,,7/31/2018
201316,Cessna 750 Citation X,4692,Allison Engine Company,AE3007A,1431,2275050012,"General Aviation, Turbine",,,7/31/2018
201317,Dornier 328 Jet,4737,Textron Lycoming,"LF507-1F, -1H",1337,2275060012,"Air Taxi, Turbine",,,7/31/2018
201318,Dassault Falcon 50,4784,Allied Signal,TFE731-3,1205,2275050012,"General Aviation, Turbine",,,7/31/2018
201319,Dassault Falcon 50-EX,4785,Allied Signal,TFE731-3,1205,2275050012,"General Aviation, Turbine",,,7/18/2018
201320,Dassault Falcon 900,4786,Allied Signal,TFE731-3,1205,2275050012,"General Aviation, Turbine",,,7/31/2018
201321,Dassault Falcon 900-B,4787,Allied Signal,TFE731-3,1205,2275050012,"General Aviation, Turbine",,,7/18/2018
201322,Dassault Falcon 900-C,4788,Allied Signal,TFE731-3,1205,2275050012,"General Aviation, Turbine",,,7/18/2018
201323,Dassault Falcon 900-EX,4789,Allied Signal,TFE731-3,1205,2275050012,"General Aviation, Turbine",,,7/18/2018
201324,Cirrus SR20,4997,,IO-360-B ,1567,2275050011,"General Aviation, Piston",,,7/31/2018
201325,Cirrus SR22,4998,,TIO-540-J2B2 ,1715,2275050011,"General Aviation, Piston",,,7/31/2018
201326,Aerospatiale Concorde,4697,Rolls Royce,OLYMPUS-593-610 ,1333,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
201327,Vickers Vanguard,5011,,TYNE ,1746,2275020000,"Commercial Aircraft, Total: All Types",,,7/31/2018
201328,Convair CV-640,4704,,RDA10 ,1672,2275060012,"Air Taxi, Turbine",,,7/18/2018
201329,Convair CV-640,4704,RollsRoyce plc,RDa.7 ,1673,2275060012,"Air Taxi, Turbine",,,7/18/2018
201330,Convair CV-580,4703,Allison,501 D13 alternative 1 ,1462,2275060012,"Air Taxi, Turbine",,,7/18/2018
201331,Convair CV-580,4703,Allison,501 D13 alternative 2 ,1463,2275060012,"Air Taxi, Turbine",,,7/18/2018
201332,Convair CV-580,4703,,501D22A ,1461,2275060012,"Air Taxi, Turbine",,,7/18/2018
201333,Boeing DC-10-10 Series,4706,GE,CF6-50E1,1413,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
201334,Boeing DC-10-10 Series,4706,GE,CF6-50E2B,1416,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
201335,Boeing DC-10-10 Series,4706,GE,CF6-50C2B,1415,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
201336,Boeing DC-10-10 Series,4706,GE,CF6-50E2,1414,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
201337,Boeing DC-10-10 Series,4706,GE,CF6-50C,1407,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
201338,Boeing DC-10-10 Series,4706,GE,CF6-50A,1406,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
201339,Boeing DC-10-10 Series,4706,GE,CF6-50CA,1408,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
201340,Boeing DC-10-10 Series,4706,GE,CF6-50C2R,1409,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
201341,Boeing DC-10-10 Series,4706,GE Aircraft Engines,CF6-6D,1217,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
201342,Boeing DC-10-10 Series,4706,GE Aircraft Engines,CF6-50C,1222,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
201343,Boeing DC-10-10 Series,4706,GE Aircraft Engines,CF6-6D1A,1218,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
201344,Boeing DC-10-10 Series,4706,GE Aircraft Engines,CF6-6K,1219,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
201345,Boeing DC-10-10 Series,4706,GE Aircraft Engines,CF6-6K2,1220,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
201346,Boeing DC-10-10 Series,4706,GE Aircraft Engines,"CF6-50C1, -C2",1223,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
201347,Boeing DC-10-10 Series,4706,GE Aircraft Engines,CF6-50C2R,1224,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
201348,Boeing DC-10-10 Series,4706,GE Aircraft Engines,CF6-50E2,1225,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
201349,Boeing DC-10-30 Series,4707,GE Aircraft Engines,CF6-50E2,1225,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
201350,Boeing DC-10-30ER,4708,GE Aircraft Engines,CF6-50E2,1225,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
201351,Boeing DC-10-30 Series,4707,GE Aircraft Engines,CF6-50C2R,1224,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
201352,Boeing DC-10-30ER,4708,GE Aircraft Engines,CF6-50C2R,1224,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
201353,Boeing DC-10-30 Series,4707,GE Aircraft Engines,"CF6-50C1, -C2",1223,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
201354,Boeing DC-10-30ER,4708,GE Aircraft Engines,"CF6-50C1, -C2",1223,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
201355,Boeing DC-10-30 Series,4707,GE Aircraft Engines,CF6-50C,1222,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
201356,Boeing MD-10-30,4866,GE Aircraft Engines,CF6-6D,1217,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
